"wohflaeche";"grundstuecksflaeche";"badezimmer";"schlafzimmer";"baujahr";"garage";"kamin";"pool";"umbau"
174;816;2;2;1957;"Ja";"Nein";"Nein";"Ja"
195;394;3;2;1984;"Ja";"Nein";"Nein";"Nein"
309;930;3;3;1995;"Ja";"Ja";"Nein";"Ja"
246;786;2;3;1993;"Ja";"Nein";"Nein";"Nein"
174;418;2;2;1919;"Nein";"Ja";"Nein";"Ja"
208;869;2;2;1978;"Ja";"Ja";"Nein";"Nein"
173;558;1;2;1952;"Ja";"Nein";"Nein";"Nein"
168;1054;1;2;1920;"Ja";"Nein";"Nein";"Ja"
107;793;1;2;1913;"Nein";"Nein";"Nein";"Ja"
227;878;1;3;1948;"Ja";"Ja";"Nein";"Ja"
164;824;2;3;1996;"Ja";"Ja";"Nein";"Nein"
152;613;2;2;1980;"Ja";"Nein";"Nein";"Ja"
265;1005;2;3;1999;"Ja";"Ja";"Nein";"Nein"
160;669;2;3;1972;"Ja";"Nein";"Nein";"Ja"
249;940;3;3;1966;"Ja";"Nein";"Nein";"Nein"
202;687;2;2;1985;"Ja";"Nein";"Nein";"Nein"
312;1069;2;4;1976;"Ja";"Nein";"Nein";"Nein"
180;651;1;3;1940;"Ja";"Nein";"Nein";"Ja"
344;1023;3;4;1969;"Ja";"Ja";"Nein";"Ja"
218;1745;3;3;1974;"Ja";"Ja";"Nein";"Nein"
316;1235;3;3;2007;"Ja";"Ja";"Nein";"Ja"
206;812;1;3;1947;"Ja";"Ja";"Nein";"Ja"
199;667;1;4;1952;"Ja";"Nein";"Nein";"Nein"
239;818;2;3;2004;"Ja";"Nein";"Nein";"Nein"
189;1213;1;3;1965;"Ja";"Nein";"Nein";"Nein"
182;907;2;3;1967;"Ja";"Nein";"Nein";"Nein"
122;398;1;3;1931;"Nein";"Nein";"Nein";"Ja"
156;412;2;1;2004;"Ja";"Nein";"Nein";"Nein"
194;394;2;3;1975;"Ja";"Ja";"Nein";"Nein"
