"wohflaeche";"grundstuecksflaeche";"badezimmer";"schlafzimmer";"baujahr";"garage";"kamin";"pool";"umbau";"preis"
288;791;2;4;1959;"Nein";"Nein";"Nein";"Nein";89745
196;721;2;3;2002;"Ja";"Ja";"Nein";"Nein";132732
197;922;2;3;1954;"Ja";"Nein";"Nein";"Nein";96532
254;1049;1;2;1953;"Ja";"Ja";"Nein";"Nein";105582
137;181;1;2;1976;"Ja";"Nein";"Nein";"Nein";62595
313;1003;2;3;1899;"Ja";"Ja";"Nein";"Ja";120666
198;1081;2;3;2005;"Ja";"Ja";"Nein";"Ja";130470
268;834;2;4;1965;"Ja";"Ja";"Nein";"Nein";133863
236;894;1;3;1950;"Ja";"Nein";"Nein";"Ja";105582
370;1183;3;4;2002;"Ja";"Ja";"Nein";"Nein";207394
165;784;2;3;1968;"Ja";"Nein";"Nein";"Nein";86728
333;1220;3;4;1992;"Ja";"Ja";"Nein";"Nein";273383
226;1130;1;3;1950;"Ja";"Nein";"Nein";"Nein";111239
172;846;1;2;1965;"Ja";"Nein";"Nein";"Nein";88614
191;709;2;2;1952;"Ja";"Nein";"Nein";"Ja";109730
190;1116;2;2;1948;"Ja";"Nein";"Nein";"Ja";110862
125;948;1;2;1938;"Ja";"Nein";"Nein";"Ja";81449
278;895;2;3;1993;"Ja";"Ja";"Nein";"Ja";141782
234;823;1;3;1914;"Ja";"Ja";"Nein";"Ja";108599
276;779;3;3;2003;"Ja";"Nein";"Nein";"Ja";160636
279;451;3;2;2004;"Ja";"Ja";"Nein";"Ja";196082
171;562;1;2;1931;"Ja";"Nein";"Nein";"Ja";94195
246;1642;1;4;1883;"Ja";"Ja";"Nein";"Ja";126699
160;866;2;2;1976;"Nein";"Nein";"Nein";"Nein";75114
121;548;1;2;1922;"Nein";"Nein";"Nein";"Ja";64481
251;1105;3;3;2009;"Ja";"Ja";"Nein";"Nein";165915
160;835;1;3;1972;"Ja";"Nein";"Nein";"Ja";98041
198;158;3;2;1979;"Ja";"Nein";"Nein";"Ja";111917
187;1188;2;2;1951;"Ja";"Nein";"Nein";"Ja";105205
162;1270;2;4;1955;"Ja";"Ja";"Nein";"Nein";105281
180;1011;1;3;1955;"Ja";"Nein";"Nein";"Nein";92385
250;1430;3;3;1998;"Ja";"Nein";"Nein";"Nein";174588
134;149;2;2;1972;"Ja";"Nein";"Nein";"Nein";68629
242;880;3;3;1998;"Ja";"Ja";"Nein";"Nein";161390
201;891;2;3;1910;"Ja";"Nein";"Nein";"Ja";65989
307;1091;3;4;1991;"Ja";"Ja";"Nein";"Ja";198344
258;1135;3;3;2000;"Ja";"Ja";"Nein";"Ja";162144
